canonical_smiles,molecule_chembl_id,standard_type,standard_units,standard_value,type,units,value
CCN(CCCCCCn1c(=O)c(=O)n(CCCCCCN(CC)Cc2ccccc2OC)c2ccccc21)Cc1ccccc1OC,CHEMBL452339,IC50,nM,1.41,IC50,nM,1.41
CCN(CCCCCCN1CC(=O)N(CCCCCCN(CC)Cc2ccccc2OC)CC1=O)Cc1ccccc1OC,CHEMBL449467,IC50,nM,15.9,IC50,nM,15.9
CCN(CCCCCCN1CCN(CCCCCCN(CC)Cc2ccccc2OC)C(=O)C1=O)Cc1ccccc1OC,CHEMBL450990,IC50,nM,68.9,IC50,nM,68.9
CCN(CCCCCC(=O)N1Cc2ccc3c4c(ccc(c24)C1)CN(C(=O)CCCCCN(CC)Cc1ccccc1OC)C3)Cc1ccccc1OC,CHEMBL507885,IC50,nM,4.83,IC50,nM,4.83
CCN(CCCCCC(=O)N[C@H]1CC[C@H](NC(=O)CCCCCN(CC)Cc2ccccc2OC)CC1)Cc1ccccc1OC,CHEMBL499722,IC50,nM,8550.0,IC50,nM,8550.0
CCN(CCCCCC(=O)N[C@H]1CCCC[C@@H]1NC(=O)CCCCCN(CC)Cc1ccccc1OC)Cc1ccccc1OC,CHEMBL450506,IC50,nM,5470.0,IC50,nM,5470.0
CCN(CCCCCC(=O)N[C@H]1CCCC[C@H]1NC(=O)CCCCCN(CC)Cc1ccccc1OC)Cc1ccccc1OC,CHEMBL499825,IC50,nM,4160.0,IC50,nM,4160.0
CCN(CCCCCC(=O)N1CCN(C(=O)CCCCCN(CC)Cc2ccccc2OC)CC1)Cc1ccccc1OC,CHEMBL502877,IC50,nM,25.7,IC50,nM,25.7
CCN(CCCCCC(=O)N1CCC(C2CCN(C(=O)CCCCCN(CC)Cc3ccccc3OC)CC2)CC1)Cc1ccccc1OC,CHEMBL254016,IC50,nM,3.32,IC50,nM,3.32
CCN(CCCCCC(=O)N(C)CCCCCCCCN(C)C(=O)CCCCCN(CC)Cc1ccccc1OC)Cc1ccccc1OC,CHEMBL173309,IC50,nM,16.1,IC50,nM,16.1
COc1ccccc1CN(C)CCCCCC(=O)N(C)CCCCCCCCN(C)C(=O)CCCCCN(C)Cc1ccccc1OC,CHEMBL11805,IC50,nM,170.0,IC50,nM,170.0
CCN(CCCCCCN1C(=O)c2ccc3c4c(ccc(c24)C1=O)C(=O)N(CCCCCCN(CC)Cc1ccccc1OC)C3=O)Cc1ccccc1OC,CHEMBL450553,IC50,nM,8130.0,IC50,uM,8.13
